# Name, Value, Error(+/-): UnitCellsi 1 1 1
COF-1, 0.232867, 0.000635
COF-102, 0.796868, 0.000521
COF-103, 0.812056, 0.000647
COF-105, 0.923400, 0.000486
COF-108, 0.931574, 0.000269
COF-202, 0.640764, 0.000734
COF-300, 0.639485, 0.000432
Cd3BTB2, 0.563028, 0.001052
Co-DOBDC, 0.645756, 0.001021
Co(2,6-NDP), 0.708083, 0.001156
CoBDP-Dubbeldam, 0.641303, 0.001155
CoBDP, 0.650295, 0.000339
Cu-BTC, 0.746036, 0.000849
IRMOF-1, 0.803861, 0.000618
IRMOF-10, 0.893183, 0.000489
IRMOF-11, 0.675746, 0.000656
IRMOF-12, 0.865749, 0.000349
IRMOF-13, 0.865749, 0.000349
IRMOF-14, 0.885035, 0.000471
IRMOF-16, 0.919271, 0.000420
IRMOF-2, 0.783065, 0.000682
IRMOF-3, 0.787178, 0.000676
IRMOF-4, 0.500510, 0.000408
IRMOF-5, 0.366978, 0.000831
IRMOF-6, 0.758201, 0.000681
IRMOF-7, 0.734867, 0.000585
IRMOF-8, 0.850970, 0.000132
MAF-X8, 0.490054, 0.000899
MIL-100-primitive, 0.712473, 0.000540
MIL-47, 0.533606, 0.000669
MOF-177, 0.835133, 0.000978
MOF-200, 0.919441, 0.000386
MOF-205, 0.870458, 0.000629
MOF-210, 0.904819, 0.000719
Mg-DOBDC, 0.660249, 0.000483
MgMOF-74, 0.658360, 0.000804
NU-100SP-primitive, 0.896332, 0.000475
NU-108-Cu, 0.904974, 0.000384
NU-108-Zn, 0.864207, 0.000783
Ni-DOBDC, 0.633473, 0.000578
PCN-60, 0.824564, 0.000848
PCN-61, 0.819329, 0.000481
PCN-68, 0.891253, 0.000401
UIO-66, 0.496037, 0.001142
UMCM-1, 0.866036, 0.000811
ZIF-71, 0.495334, 0.000433
ZIF-8, 0.479903, 0.000885
ZIF-90, 0.503489, 0.000497
ZIF-93, 0.418006, 0.000752
ZIF-96, 0.469982, 0.000957
ZIF-97, 0.367276, 0.000730
ZnBDC, 0.425555, 0.000653
ZnBDCdabco, 0.572004, 0.000888
ZnMOF-74, 0.656825, 0.000625
Zr-TPDC, 0.763531, 0.000264
